[2024-10-06 17:30:49,032][INFO] Step 1: size: 1, coverage: 5.67%, cost: 64.0
[2024-10-06 17:30:49,043][INFO] Step 2: size: 2, coverage: 10.67%, cost: 68.0
[2024-10-06 17:30:49,053][INFO] Step 3: size: 3, coverage: 15.67%, cost: 109.0
[2024-10-06 17:30:49,064][INFO] Step 4: size: 4, coverage: 20.33%, cost: 170.0
[2024-10-06 17:30:49,074][INFO] Step 5: size: 5, coverage: 24.67%, cost: 201.0
[2024-10-06 17:30:49,084][INFO] Step 6: size: 6, coverage: 28.67%, cost: 234.0
[2024-10-06 17:30:49,095][INFO] Step 7: size: 7, coverage: 32.67%, cost: 290.0
[2024-10-06 17:30:49,105][INFO] Step 8: size: 8, coverage: 36.33%, cost: 304.0
[2024-10-06 17:30:49,116][INFO] Step 9: size: 9, coverage: 39.67%, cost: 308.0
[2024-10-06 17:30:49,126][INFO] Step 10: size: 10, coverage: 43.00%, cost: 347.0
[2024-10-06 17:30:49,137][INFO] Step 11: size: 11, coverage: 46.00%, cost: 356.0
[2024-10-06 17:30:49,147][INFO] Step 12: size: 12, coverage: 49.00%, cost: 370.0
[2024-10-06 17:30:49,158][INFO] Step 13: size: 13, coverage: 52.00%, cost: 394.0
[2024-10-06 17:30:49,169][INFO] Step 14: size: 14, coverage: 55.00%, cost: 463.0
[2024-10-06 17:30:49,179][INFO] Step 15: size: 15, coverage: 57.67%, cost: 497.0
[2024-10-06 17:30:49,190][INFO] Step 16: size: 16, coverage: 60.33%, cost: 548.0
[2024-10-06 17:30:49,200][INFO] Step 17: size: 17, coverage: 63.00%, cost: 603.0
[2024-10-06 17:30:49,210][INFO] Step 18: size: 18, coverage: 65.33%, cost: 609.0
[2024-10-06 17:30:49,221][INFO] Step 19: size: 19, coverage: 67.67%, cost: 633.0
[2024-10-06 17:30:49,231][INFO] Step 20: size: 20, coverage: 70.00%, cost: 677.0
[2024-10-06 17:30:49,242][INFO] Step 21: size: 21, coverage: 72.33%, cost: 758.0
[2024-10-06 17:30:49,253][INFO] Step 22: size: 22, coverage: 74.67%, cost: 855.0
[2024-10-06 17:30:49,263][INFO] Step 23: size: 23, coverage: 76.67%, cost: 918.0
[2024-10-06 17:30:49,274][INFO] Step 24: size: 24, coverage: 78.67%, cost: 1007.0
[2024-10-06 17:30:49,284][INFO] Step 25: size: 25, coverage: 80.67%, cost: 1105.0
[2024-10-06 17:30:49,295][INFO] Step 26: size: 26, coverage: 82.33%, cost: 1112.0
[2024-10-06 17:30:49,306][INFO] Step 27: size: 27, coverage: 84.00%, cost: 1124.0
[2024-10-06 17:30:49,317][INFO] Step 28: size: 28, coverage: 85.67%, cost: 1149.0
[2024-10-06 17:30:49,327][INFO] Step 29: size: 29, coverage: 87.33%, cost: 1185.0
[2024-10-06 17:30:49,338][INFO] Step 30: size: 30, coverage: 89.00%, cost: 1277.0
[2024-10-06 17:30:49,349][INFO] Step 31: size: 31, coverage: 90.33%, cost: 1319.0
[2024-10-06 17:30:49,360][INFO] Step 32: size: 32, coverage: 91.67%, cost: 1374.0
[2024-10-06 17:30:49,371][INFO] Step 33: size: 33, coverage: 92.67%, cost: 1377.0
[2024-10-06 17:30:49,382][INFO] Step 34: size: 34, coverage: 93.67%, cost: 1381.0
[2024-10-06 17:30:49,393][INFO] Step 35: size: 35, coverage: 94.67%, cost: 1392.0
[2024-10-06 17:30:49,404][INFO] Step 36: size: 36, coverage: 95.67%, cost: 1403.0
[2024-10-06 17:30:49,416][INFO] Step 37: size: 37, coverage: 96.67%, cost: 1419.0
[2024-10-06 17:30:49,427][INFO] Step 38: size: 38, coverage: 97.33%, cost: 1422.0
[2024-10-06 17:30:49,438][INFO] Step 39: size: 39, coverage: 98.00%, cost: 1426.0
[2024-10-06 17:30:49,450][INFO] Step 40: size: 40, coverage: 98.67%, cost: 1434.0
[2024-10-06 17:30:49,462][INFO] Step 41: size: 41, coverage: 99.33%, cost: 1483.0
[2024-10-06 17:30:49,473][INFO] Step 42: size: 42, coverage: 99.67%, cost: 1484.0
